[nume-magazin];IKEO;;;;;;;;;;;;;;
[lista-coloane];cod_produs;subclasa;producator;pret;consum;stoc;adincime;latime;inaltime;;;;;;
[parametri];cod_produs;producator;pret;consum;stoc;adincime;latime;inaltime;lungime_cablu;baterie;capacitate_congelator;capacitate_frigider;nr_arzatoare;rotatii_min;rezervor
[valori-initiale];;;0.;0.;0;0.;0.;0.;0.;;0.;0.;0;0.;0
[debut-date];;;;;;;;;;;;;;;
Frigider;AD54240P+;Arctic;799.99;226;12;60;54;146.5;;;46;177;;;
Frigider;RDNE535E20DZM;Beko;1999;397;20;69;70;193;;;103;368;;;
Aragaz;ZCG210M1WA;Zanussi;799.99;2600;19;50;50;85;;;;;4;;
Aragaz;FSM62530DXMS;Beko;1599.99;3000;10;60;60;85;;;;;4;;
Mixer;MFQ36480;Bosch;233.98;450;40;;;;125;Nu;;;;3000;
Mixer;HT411138;Tefal;154.98;450;15;;;;150;Nu;;;;2500;
Fier_calcat;FV4911;Tefal;199.99;2400;11;;;;200;Nu;;;;;0.27
Fier_calcat;SSAR22P;Arctic;177.31;2200;5;;;;180;Nu;;;;;0.7
Fier_calcat;TDI902431E;Bosch;385.99;2400;1;;;;250;Nu;;;;;0.4
Frigider;HF-M207BKA+;Heinner;896.00;350;12;58.5;58.5;146.2;;;40;164;;;
Frigider;FDDV-213A+;Star-Light;699.99;212;5;57;54;144;;;42;213;;;
Frigider;GSX961NSAZ;LG;7499.99;376;2;73.8;91.2;179;;;196;405;;;
Frigider;RB37J500MSA/EF;Samsung;2299.99;183;4;67.5;59.5;201;;;98;255;;;
Aragaz;AGM5500F;Arctic;749.99;2000;9;50;50;85;;;;;4;;
Aragaz;FSM65330DAS;Beko;1489.99;2200;0;60;60;85;;;;;4;;
Aragaz;FCF58GRTBR;Star-Light;849.99;2600;2;58;58;85;;;;;4;;
Aragaz;ZCG210T1WA;Zanussi;799.90;2600;4;50;50;85;;;;;4;;
Mixer;HR2100/00;Philips;136.43;400;9;;;;85;Nu;;;;1700;
Mixer;MSM14000;Bosch;94.98;400;30;;;;120;Nu;;;;2000;
Mixer;HY HMC 220;Hyundai;149.90;600;0;;;;90;Nu;;;;2000;
Mixer;MQ 3025;Braun;179.99;700;6;;;;120;Nu;;;;2500;
Fier_calcat;VR7045F0;Rowenta;379.99;2200;5;;;;160;Nu;;;;;1.2
Fier_calcat;HIS-D2400WB;Heinner;229.99;2400;8;;;;160;Nu;;;;;1.8
Fier_calcat;DSS250;Daewoo;259.99;2400;15;;;;150;Nu;;;;;1.5
[sfarsit-date];;;;;;;;;;;;;;;
